time,amount,exchange_type,transaction_times,price
1563541255.0,436310.65896200004,0.0,35.0,1.0
1563542514.0,3556914.8969772197,0.0,226.0,1.001
1563542526.0,3812.728952,0.0,3.0,1.001
1563544303.0,3263691.6174369995,0.0,384.0,1.001
1563546128.0,1336058.4333810194,0.0,358.0,1.0
1563546203.0,186999.658694,0.0,26.0,1.001
1563546626.0,829582.5557009,0.0,112.0,1.001
1563547319.0,1206803.29144446,0.0,178.0,1.001
1563548504.0,1491031.350789,0.0,227.0,1.002
1563549577.0,4084719.518212278,0.0,243.0,1.001
1563550101.0,5290689.931317403,0.0,94.0,1.0
1563550927.0,1156310.6401558102,0.0,141.0,1.001
1563550928.0,89767.5,0.0,3.0,1.0
1563551348.0,153222.0139,0.0,6.0,1.002
1563551692.0,387199.53734205995,0.0,40.0,1.001
1563554258.0,279775.8336,0.0,86.0,1.002
1563554765.0,3830649.3928000005,0.0,20.0,1.002
1563556068.0,819378.7155024998,0.0,80.0,1.0
1563556234.0,270711.45664598,0.0,78.0,1.0
1563556534.0,146177.32163534,0.0,20.0,1.002
1563557060.0,392990.9568378,0.0,21.0,1.0
1563558183.0,320817.62539384,0.0,68.0,1.001
1563558826.0,608813.26413225,0.0,27.0,1.002
1563558914.0,189752.22484008002,0.0,26.0,1.002
1563559542.0,2243515.2748374995,0.0,50.0,1.001
1563560018.0,132022.973944,0.0,26.0,1.002
1563560874.0,3321986.8012082204,0.0,149.0,1.0
1563561340.0,3486328.14829429,0.0,248.0,1.001
1563561559.0,5356112.412246789,0.0,121.0,1.002
1563561951.0,4851541.346495119,0.0,9.0,1.0
1563562544.0,620935.6921773602,0.0,61.0,1.0
1563564839.0,482821.6586,0.0,16.0,1.002
1563566102.0,43799.13533427999,0.0,15.0,1.001
1563567334.0,103270.61100000002,0.0,29.0,1.001
1563567682.0,279840.36429855,0.0,42.0,1.0
1563568683.0,54746.335199999994,0.0,9.0,1.001
1563569021.0,115991.04133844003,0.0,12.0,1.002
1563570154.0,3272.2552,0.0,4.0,1.002
1563570264.0,370288.65610389,0.0,4.0,1.001
1563571809.0,14291.1402,0.0,7.0,1.001
1563572832.0,104997.06067661,0.0,10.0,1.001
1563573513.0,96118.50959999999,0.0,12.0,1.0
1563573860.0,32114.4889053,0.0,8.0,1.0
1563573875.0,2194.0,0.0,2.0,1.002
1563574436.0,110458.20240000001,0.0,12.0,1.001
1563574702.0,30128.91,0.0,3.0,1.0
1563574864.0,148120.1,0.0,24.0,1.002
1563576305.0,46307.545477800006,0.0,20.0,1.0
1563576588.0,99989.48373757,0.0,41.0,1.001
1563576712.0,48.27161589,0.0,1.0,1.001
1563576745.0,266.0,0.0,1.0,1.001
1563576960.0,25722.51121589,0.0,10.0,1.002
1563577157.0,25291.17303718,0.0,10.0,1.002
1563577402.0,5314.52145784,0.0,3.0,1.001
1563578060.0,65312.185900000004,0.0,12.0,1.001
1563578589.0,6815959.161675001,0.0,16.0,1.001
1563580531.0,52616.079999999994,0.0,18.0,1.002
1563580880.0,498790.9273,0.0,26.0,1.001
1563581115.0,120370.48040970002,0.0,19.0,1.001
1563581668.0,46746.202000000005,0.0,12.0,1.001
1563581802.0,117174.05226918,0.0,18.0,1.001
1563582266.0,178017.675622,0.0,16.0,1.001
1563583374.0,1347586.9067219596,0.0,51.0,1.001
1563583556.0,6034.376,0.0,4.0,1.001
1563583637.0,256455.95911419,0.0,5.0,1.001
1563584560.0,3573485.784501819,0.0,131.0,1.001
1563585024.0,2142929.748324781,0.0,170.0,1.001
1563585096.0,255285.24881885998,0.0,18.0,1.001
1563585141.0,887606.3624026199,0.0,41.0,1.001
1563585536.0,3125832.5173343304,0.0,158.0,1.002
1563586118.0,2743008.4907277892,0.0,229.0,1.001
1563586754.0,6794427.03315147,0.0,249.0,1.002
1563586936.0,710844.5583938501,0.0,61.0,1.001
1563587070.0,964527.1707221998,0.0,68.0,1.001
1563587522.0,4014463.3354181796,0.0,206.0,1.002
1563588051.0,1160175.10886554,0.0,111.0,1.001
1563588169.0,147771.97999999998,0.0,9.0,1.001
1563588255.0,94733.55709999999,0.0,10.0,1.001
1563589076.0,375868.04639802006,0.0,61.0,1.001
1563589444.0,703276.0851785799,0.0,56.0,1.001
1563589656.0,67494.26920000001,0.0,23.0,1.001
1563590020.0,17077.145399999998,0.0,14.0,1.002
1563590166.0,375237.61600000004,0.0,22.0,1.001
1563591097.0,128471.25187234,0.0,63.0,1.001
1563591136.0,2994.0,0.0,2.0,1.001
1563591561.0,94114.56140000002,0.0,26.0,1.001
1563591982.0,99038.755,0.0,27.0,1.001
1563592071.0,126969.74422646,0.0,36.0,1.001
1563593305.0,783507.02115636,0.0,102.0,1.001
1563593396.0,22688.462000000003,0.0,3.0,1.001
1563593483.0,156659.31461478,0.0,15.0,1.001
1563594207.0,547265.2282151,0.0,67.0,1.001
1563594359.0,2494.83,0.0,4.0,1.001
1563594673.0,69258.00651299999,0.0,34.0,1.001
1563595528.0,1971833.9294341207,0.0,104.0,1.001
1563595797.0,50957.594,0.0,25.0,1.001
1563595998.0,16046.722000000003,0.0,11.0,1.001
1563596282.0,144256.85540466,0.0,52.0,1.001
1563596545.0,252071.40874546,0.0,38.0,1.001
1563596809.0,123259.65,0.0,20.0,1.001
1563597126.0,205514.08764404003,0.0,32.0,1.001
1563597500.0,57294.479999999996,0.0,14.0,1.001
1563599106.0,1477220.5323559993,0.0,72.0,1.001
1563600013.0,732682.53801587,0.0,114.0,1.001
1563600684.0,174461.30187474,0.0,65.0,1.001
1563601087.0,45120.9425,0.0,25.0,1.001
1563601363.0,210565.69739951997,0.0,33.0,1.001
1563602162.0,483307.67388099997,0.0,68.0,1.001
1563602272.0,9386.0,0.0,6.0,1.001
1563602380.0,87181.20950622001,0.0,13.0,1.001
1563602481.0,11364.0,0.0,3.0,1.001
1563602772.0,247957.37519999998,0.0,34.0,1.001
1563602933.0,335819.88747719,0.0,52.0,1.001
1563603423.0,181618.21840799996,0.0,56.0,1.001
1563603736.0,94857.77150755998,0.0,36.0,1.001
1563603936.0,67696.064,0.0,12.0,1.001
1563603974.0,8850.82460348,0.0,4.0,1.001
1563605464.0,652672.3176500002,0.0,112.0,1.001
1563605615.0,209299.97123585007,0.0,18.0,1.001
1563606803.0,642287.69224346,0.0,122.0,1.001
1563606910.0,39966.056,0.0,6.0,1.001
1563607144.0,308056.4942431401,0.0,44.0,1.001
1563608129.0,527634.0796830801,0.0,59.0,1.001
1563608275.0,35966.653999999995,0.0,12.0,1.001
1563608365.0,169162.79785545004,0.0,32.0,1.001
1563608948.0,96872.97396145001,0.0,20.0,1.001
1563609406.0,195788.27076100995,0.0,45.0,1.001
1563610630.0,1449056.2358778599,0.0,130.0,1.001
1563610768.0,78244.0,0.0,12.0,1.001
1563610888.0,211629.3461536,0.0,16.0,1.001
1563612425.0,539091.66625518,0.0,92.0,1.001
1563613051.0,758297.8708531,0.0,92.0,1.001
1563614521.0,1755106.4988212192,0.0,137.0,1.001
1563615044.0,675578.7525279701,0.0,68.0,1.001
1563615206.0,239956.44646689994,0.0,51.0,1.001
1563616699.0,441299.0186506801,0.0,80.0,1.001
1563617603.0,408769.8842176499,0.0,109.0,1.001
1563619544.0,365019.17795789,0.0,75.0,1.001
1563619829.0,122779.90365352,0.0,50.0,1.001
1563620634.0,248082.09623131008,0.0,69.0,1.001
1563620744.0,6925.70169944,0.0,9.0,1.001
1563621555.0,333793.35884375003,0.0,48.0,1.001
1563621882.0,49973.623002399996,0.0,12.0,1.001
1563622486.0,646433.8727279999,0.0,60.0,1.001
1563622808.0,211228.52078144002,0.0,33.0,1.001
1563622960.0,152235.17228884,0.0,24.0,1.001
1563625442.0,411968.72067888,0.0,72.0,1.001
1563625851.0,36268.770756599995,0.0,19.0,1.001
1563626000.0,272978.949334,0.0,62.0,1.001
1563626302.0,540565.09666035,0.0,65.0,1.001
1563626436.0,13162.0,0.0,10.0,1.001
1563626527.0,112825.241,0.0,11.0,1.001
1563626896.0,332828.29145112,0.0,35.0,1.001
1563629340.0,179426.22629609995,0.0,72.0,1.001
1563629546.0,56255.1,0.0,8.0,1.001
1563629758.0,288787.15661939996,0.0,30.0,1.001
1563630672.0,134430.96249844,0.0,28.0,1.001
1563631091.0,331958.36199999996,0.0,22.0,1.001
1563631895.0,1157207.3610989999,0.0,46.0,1.001
1563632555.0,110930.34823277,0.0,33.0,1.001
1563633091.0,51062.74346921,0.0,17.0,1.001
1563633525.0,26418.044335,0.0,24.0,1.001
1563633592.0,414555.49159999995,0.0,56.0,1.001
1563633710.0,46876.1674,0.0,8.0,1.001
1563634175.0,86767.5994,0.0,10.0,1.001
1563634453.0,6461.373071999999,0.0,10.0,1.001
1563635941.0,47580.0215,0.0,5.0,1.001
1563636539.0,157544.83992574998,0.0,51.0,1.001
1563636893.0,24943.806906,0.0,9.0,1.001
1563638578.0,98457.87,0.0,3.0,1.001
1563639204.0,332795.81363293,0.0,16.0,1.001
1563639828.0,2145.0,0.0,1.0,1.001
1563641137.0,179283.238,0.0,3.0,1.001
1563641287.0,35213.98030235,0.0,7.0,1.001
1563641401.0,9006.321526,0.0,5.0,1.001
1563641743.0,8705.0,0.0,1.0,1.001
1563642486.0,228319.88439999998,0.0,5.0,1.001
1563642787.0,245287.74558389996,0.0,8.0,1.001
1563642908.0,160660.5211,0.0,3.0,1.001
1563643320.0,70831.0,0.0,2.0,1.001
1563643871.0,69878.0,0.0,1.0,1.001
1563644999.0,107874.01999999999,0.0,2.0,1.001
1563645293.0,55118.371001210005,0.0,5.0,1.001
1563646624.0,412.6196,0.0,1.0,1.001
1563647585.0,311569.13400881,0.0,5.0,1.001
1563647829.0,11827.52658716,0.0,5.0,1.001
1563648740.0,25190.55733725,0.0,4.0,1.001
1563649331.0,11428.397099,0.0,5.0,1.001
1563649573.0,10195.30110122,0.0,2.0,1.001
1563651110.0,25843.4256326,0.0,6.0,1.001
1563652217.0,4579.1935,0.0,3.0,1.001
1563652904.0,493.98,0.0,1.0,1.001
1563653447.0,15244.156389999998,0.0,4.0,1.001
1563653603.0,859.4,0.0,1.0,1.001
1563654202.0,978.0,0.0,1.0,1.001
1563655040.0,8268.1,0.0,3.0,1.001
1563656630.0,2330.52767949,0.0,3.0,1.001
1563656791.0,2529.21126881,0.0,1.0,1.001
1563658396.0,13211.0,0.0,2.0,1.001
1563660084.0,7476.9380924,0.0,4.0,1.001
1563660537.0,3487.98,0.0,2.0,1.001
1563660910.0,3073.7333,0.0,1.0,1.001
1563661376.0,96494.72,0.0,2.0,1.001
1563661702.0,300.0,0.0,1.0,1.001
1563662809.0,888.5952,0.0,1.0,1.001
1563662941.0,101.11545879,0.0,1.0,1.001
1563664087.0,4695.3164,0.0,2.0,1.001
1563664756.0,28141.162,0.0,7.0,1.001
1563664880.0,15959.259737,0.0,5.0,1.001
1563666945.0,15997.38881923,0.0,6.0,1.001
1563667287.0,123033.96196692,0.0,12.0,0.9996
1563667440.0,5442.4414,0.0,5.0,0.9996
1563667693.0,4781.5759,0.0,3.0,0.9996
1563668095.0,101103.49279999999,0.0,4.0,0.9996
1563670198.0,1006386.8667,0.0,4.0,0.9996
1563670254.0,1150.0,0.0,1.0,0.9996
1563671000.0,47884.44129197,0.0,20.0,0.9996
1563671248.0,316.0,0.0,1.0,0.9996
1563671906.0,16937.7377,0.0,3.0,0.9996
1563672415.0,3446.0,0.0,3.0,0.9996
1563672605.0,22914.74299802,0.0,8.0,0.9996
1563673116.0,2000.0,0.0,1.0,0.9996
1563673596.0,2902.985,0.0,3.0,0.9996
1563675262.0,1777.3985,0.0,2.0,0.9996
1563676080.0,1009738.61665476,0.0,11.0,0.9996
1563676573.0,1010881.927295,0.0,13.0,0.9996
1563677034.0,20544.7641,0.0,9.0,0.9996
1563677785.0,15502.372297000002,0.0,4.0,0.9996
1563678380.0,54008.3788,0.0,9.0,0.9996
1563678825.0,15719.40696936,0.0,12.0,0.9996
1563678894.0,578.4,0.0,1.0,0.9996
1563679793.0,4564.133,0.0,6.0,0.9996
1563680200.0,5517.0509,0.0,7.0,0.9996
1563680742.0,5419.40489016,0.0,5.0,0.9996
1563682030.0,26946.427264420003,0.0,16.0,0.9996
1563682315.0,47214.59078508,0.0,14.0,0.9996
1563682906.0,3773.02,0.0,3.0,0.9996
1563683397.0,15936.537692160002,0.0,6.0,0.9996
1563683695.0,16426.95182179,0.0,8.0,0.9996
1563684367.0,12435.397050000001,0.0,5.0,0.9996
1563684940.0,6383.116,0.0,5.0,0.9996
1563685550.0,53048.02204778,0.0,7.0,0.9996
1563687319.0,30994.368560410003,0.0,9.0,0.9996
1563687438.0,60797.101358,0.0,12.0,0.9996
1563688067.0,31492.1,0.0,2.0,0.9996
1563689025.0,3582.176,0.0,4.0,0.9996
1563689700.0,32408.931483160002,0.0,5.0,0.9996
1563690262.0,617.4300000000001,0.0,2.0,0.9996
1563690653.0,80808.70194825,0.0,7.0,0.9996
1563691086.0,11708.0,0.0,1.0,0.9996
1563692054.0,36784.522,0.0,8.0,0.9996
1563694230.0,1023782.4204704901,0.0,11.0,0.9996
1563694733.0,52667.508653000004,0.0,14.0,0.9996
1563695337.0,42185.09545315,0.0,5.0,0.9996
1563695705.0,6861.0075,0.0,3.0,0.9996
1563696316.0,37348.6843,0.0,6.0,0.9996
1563696464.0,20000.0,0.0,1.0,0.9996
1563697142.0,24531.284799999998,0.0,7.0,0.9996
1563698021.0,1439216.80079872,0.0,13.0,0.9996
1563698911.0,14392.72266088,0.0,7.0,0.9996
1563699255.0,34523.25308917,0.0,11.0,0.9996
1563699410.0,4000.0,0.0,1.0,0.9996
1563700269.0,40000.0,0.0,1.0,0.9996
1563700408.0,12762.983203,0.0,10.0,0.9996
1563702071.0,8124.50269593,0.0,5.0,0.9996
1563702347.0,12962.12177088,0.0,9.0,0.9996
1563702809.0,1005.3806,0.0,2.0,0.9996
1563702914.0,2185.0,0.0,1.0,0.9996
1563703347.0,18580.8349,0.0,5.0,0.9996
1563705422.0,4060.9,0.0,4.0,0.9996
1563705538.0,9900.580461599999,0.0,4.0,0.9996
1563705845.0,440098.69574865,0.0,18.0,0.9996
1563706481.0,46.46760799,0.0,1.0,0.9996
1563706628.0,12908.425,0.0,5.0,0.9996
1563707386.0,15057.058091,0.0,4.0,0.9996
1563708339.0,11330.738514329998,0.0,5.0,0.9996
1563708489.0,50452.50534758,0.0,8.0,0.9996
1563710629.0,5169.3639,0.0,3.0,0.9996
1563711023.0,59932.89111913,0.0,14.0,0.9996
1563711126.0,10328.78477325,0.0,8.0,0.9996
1563711965.0,24711.59,0.0,1.0,0.9996
1563712578.0,11737.45524918,0.0,8.0,0.9996
1563714734.0,25120.1063,0.0,5.0,0.9996
1563716826.0,58395.85847568,0.0,22.0,0.9996
1563717371.0,83495.34083021,0.0,18.0,0.9996
1563717533.0,1035224.06,0.0,4.0,0.9996
1563718277.0,20184.26108412,0.0,9.0,0.9996
1563723581.0,185397.54855188003,0.0,65.0,0.9996
1563724087.0,228386.9471,0.0,8.0,0.9996
1563724180.0,577.54890325,0.0,2.0,0.9996
1563725348.0,3033.19886077,0.0,3.0,0.9996
1563725386.0,1036581.88040235,0.0,6.0,0.9996
1563725631.0,47899.05199344,0.0,6.0,0.9996
1563727536.0,32335.554234000003,0.0,5.0,0.9996
1563727594.0,137211.0478,0.0,2.0,0.9996
1563727790.0,74878.47876833,0.0,14.0,0.9996
1563728384.0,1295.0,0.0,1.0,0.9996
1563728493.0,10165.415776,0.0,5.0,0.9996
1563729335.0,4229.0,0.0,3.0,0.9996
1563729566.0,3368.1,0.0,2.0,0.9996
1563731042.0,28465.747734,0.0,2.0,0.9996
1563732139.0,1060947.011496,0.0,11.0,0.9996
1563732504.0,16796.8326,0.0,3.0,0.9996
1563732826.0,5258.94781918,0.0,4.0,0.9996
1563733079.0,3495.0,0.0,1.0,0.9996
1563734442.0,72107.296,0.0,4.0,0.9996
1563734547.0,74934.0777,0.0,9.0,0.9996
1563734885.0,11858.0,0.0,1.0,0.9996
1563735190.0,11495.0,0.0,2.0,0.9996
1563736137.0,4967.006958,0.0,2.0,0.9996
1563736309.0,6557.27866746,0.0,3.0,0.9996
1563737174.0,357.48263254,0.0,1.0,0.9996
1563737620.0,60925.38863133,0.0,2.0,0.9996
1563738204.0,4221.9893,0.0,1.0,0.9996
1563739809.0,2354.6496,0.0,1.0,0.9996
1563740471.0,14769.9979,0.0,1.0,0.9996
1563740778.0,376.0455,0.0,1.0,0.9996
1563741741.0,50923.90758,0.0,2.0,0.9996
1563743938.0,5.0,0.0,1.0,0.9996
1563744538.0,1747.0342,0.0,3.0,0.9996
1563744749.0,28002.4579,0.0,3.0,0.9996
1563745986.0,20756.42337173,0.0,1.0,0.9996
1563746611.0,515.0,0.0,1.0,0.9996
1563747707.0,2848.885,0.0,1.0,0.9996
1563752635.0,13031.555199999999,0.0,10.0,0.9996
1563752747.0,20517.0,0.0,3.0,0.9996
1563754216.0,3631.043929,0.0,4.0,0.9999
1563755108.0,1006488.5565,0.0,4.0,0.9984
1563756526.0,20820.920884130002,0.0,4.0,0.9984
1563756724.0,5038.757042,0.0,7.0,0.9982
1563757578.0,63919.0,0.0,1.0,0.9984
1563757883.0,420.0,0.0,1.0,0.9997
1563758301.0,234.3807,0.0,1.0,0.9984
1563758755.0,5765.092044630001,0.0,3.0,0.9999
1563759360.0,36758.727,0.0,4.0,0.9984
1563759513.0,13010.004663720001,0.0,7.0,0.9997
1563759961.0,1776.2123,0.0,2.0,0.9984
1563760232.0,50924.41960038,0.0,4.0,0.9984
1563760733.0,439.7876,0.0,1.0,0.9984
1563761212.0,6740.7165,0.0,4.0,0.9999
1563761606.0,7234.5562,0.0,3.0,0.9984
1563761996.0,1763.434468,0.0,3.0,0.9984
1563762615.0,5860.35091899,0.0,4.0,0.9984
1563762767.0,36975.20156041,0.0,16.0,0.9997
